Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,total transactions (including tnx to create contract),total Ether sent,total ether received,No. of txns from blacklisted addresses,No. of txns to blacklisted addresses,Total ether sent to blacklisted addresses,Total ether received from blacklisted addresses,Ratio of total sent to blacklisted addresses,Ratio of total received from blacklisted addresses,Confirmations,avg_gas_price_gwei,gas_price_std_dev,high_gas_price_ratio,low_gas_price_ratio,gas_price_coefficient_variation,total_failed_txns,failed_txn_ratio,max_consecutive_failures,failed_contract_interaction_ratio,total_erc721_transfers,erc721_incoming_ratio,erc721_outgoing_ratio,unique_erc721_tokens,external_txn_ratio,erc20_txn_ratio,erc721_txn_ratio,erc1155_txn_ratio,internal_txn_ratio,unique_wallets_interacted_with,unique_contracts_interacted_with,num_blacklisted_contracts_interacted,ratio_blacklisted_contract_txns
0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,0,844.26,1093.71,704785.63,721,89,0,810,865.6910932,586.4666748,0,0,0.0,0.0,0.0,0.0,0,17.567734406178147,27.179946327380716,0.2149643705463182,0.5997624703087886,1.5471514823119243,66,0.078384798,6,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0
0x0002b44ddb1476db43c868bd494422ee4c136fed,0,12709.07,2958.44,1218216.73,94,8,0,102,3.08729702,3.085478209,0,0,0.0,0.0,0.0,0.0,0,13.03059464,14.105210965027624,0.375886525,0.475177305,1.0824687095766892,1,0.003546099,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0
0x0002bda54cb772d040f779e88eb453cac0daa244,0,246194.54,2434.02,516729.3,2,10,0,12,3.58861565,3.58905665,0,0,0.0,0.0,0.0,0.0,0,22.391961782583337,11.954316414396535,0.083333333,0.083333333,0.5338664173540484,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,0,10219.6,15785.09,397555.9,25,9,0,34,1750.0458620000004,895.399559,0,0,0.0,0.0,0.0,0.0,0,23.126941960764704,9.358737962,0.1176470588235294,0.088235294,0.4046681994669674,9,0.2647058823529412,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,0,36.61,10707.77,382472.42,4598,20,1,4619,104.3188828,53.4218965,0,0,0.0,0.0,0.0,0.0,0,12.088100780649222,7.721332460061703,0.3375865051903114,0.3330449826989619,0.6387548052562653,508,0.1098615916955017,31,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0
0x000895ad78f4403ecd9468900e68d6ee506136fd,0,9900.12,375.48,20926.68,2,3,0,5,9.70371586,9.70472386,0,0,0.0,0.0,0.0,0.0,0,22.783548123600003,1.260097772178879,0.0,0.0,0.055307354,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0x000d63fc5df52b0204374c2f5a3249779805d5d1,0,69.46,629.44,8660.35,25,11,0,36,12.0623941,12.079266,0,0,0.0,0.0,0.0,0.0,0,29.91777611330555,11.161952304032637,0.1944444444444444,0.0,0.3730876339792013,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,0,1497.39,176.84,319828.05,213,5,0,218,8.703392156,4.45548974,0,0,0.0,0.0,0.0,0.0,0,22.66621208014865,15.242794439581868,0.031531532,0.004504505,0.6724897122502307,8,0.036036036,5,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0,0.0,0.0,496.62,1,1,0,2,1.99938,2.0,0,0,0.0,0.0,0.0,0.0,0,22.35237867,3.3267658154156496,0.0,0.0,0.1488327423627944,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x0012f247c9f980eea0a9ad06893bfd95c3145794,0,2570.59,3336.01,30572.7,8,3,0,11,149.077,50.1,0,0,0.0,0.0,0.0,0.0,0,41.44971203527273,16.054208616067974,0.090909091,0.090909091,0.3873177358242252,4,0.3636363636363636,4,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
